"FFMC","DMC","DC","ISI","temp","RH","wind","area","weekend","avg_temp","avg_wind"
86.2,26.2,94.3,1.80828877117927,8.2,51,6.7,0,0,9,6
90.6,35.4,669.1,2.04122032885964,18,33,0.9,0,0,13,4
90.6,43.7,686.9,2.04122032885964,14.6,33,1.3,0,1,13,4
91.7,33.3,77.5,2.30258509299405,8.3,97,4,0,0,9,6
89.3,51.3,102.2,2.36085400111802,11.4,99,1.8,0,1,9,6
92.3,85.3,488,2.75366071235426,22.2,29,5.4,0,1,21.5,5
92.3,88.9,495.6,2.2512917986065,24.1,27,3.1,0,0,21.5,5
91.5,145.4,608.2,2.45958884180371,8,86,2.2,0,0,21.5,5
91,129.5,692.6,2.07944154167984,13.1,63,5.4,0,0,18.5,4
92.5,88,698.6,2.09186406167839,22.8,40,4,0,1,18.5,4
92.5,88,698.6,2.09186406167839,17.8,51,7.2,0,1,18.5,4
92.8,73.2,713,3.16124671203156,19.3,38,4,0,1,18.5,4
63.5,70.8,665.3,0.587786664902119,17,72,6.7,0,0,21.5,5
90.9,126.5,686.5,2.07944154167984,21.3,42,2.2,0,0,18.5,4
92.9,133.3,699.6,2.32238772029023,26.4,21,4.5,0,0,18.5,4
93.3,141.2,713.9,2.70136121295141,22.9,44,5.4,0,0,18.5,4
91.7,35.8,80.8,2.17475172148416,15.1,27,5.4,0,1,9,6
84.9,32.8,664.2,1.38629436111989,16.7,47,4.9,0,0,13,4
89.2,27.9,70.8,1.98787434815435,15.9,35,4,0,0,9,6
86.3,27.4,97.1,1.80828877117927,9.3,44,4.5,0,1,10.5,6
91,129.5,692.6,2.07944154167984,18.3,40,2.7,0,0,18.5,4
91.8,78.5,724.3,2.32238772029023,19.1,38,2.7,0,0,18.5,4
90.2,110.9,537.4,1.97408102602201,19.5,43,5.8,0,1,21.5,5
93.5,139.4,594.2,3.05870707271538,23.7,32,5.8,0,1,21.5,5
91.4,142.4,601.4,2.45100509811232,16.3,60,5.4,0,1,21.5,5
92.4,117.9,668,2.58021682959233,19,34,5.8,0,0,18.5,4
90.9,126.5,686.5,2.07944154167984,19.4,48,1.3,0,0,18.5,4
93.4,145.4,721.4,2.2082744135228,30.2,24,2.7,0,1,18.5,4
93.5,149.3,728.6,2.2082744135228,22.8,39,3.6,0,1,18.5,4
94.3,85.1,692.3,2.82731362192903,25.4,24,3.6,0,0,18.5,4
88.6,91.8,709.9,2.09186406167839,11.2,78,7.6,0,0,18.5,4
88.6,69.7,706.8,1.91692261218206,20.6,37,1.8,0,0,18.5,4
91.7,75.6,718.3,2.17475172148416,17.7,39,3.6,0,1,18.5,4
91.8,78.5,724.3,2.32238772029023,21.2,32,2.7,0,0,18.5,4
90.3,80.7,730.2,1.98787434815435,18.2,62,4.5,0,0,18.5,4
90.6,35.4,669.1,2.04122032885964,21.7,24,4.5,0,0,13,4
90,41.5,682.6,2.27212588550934,11.3,60,5.4,0,0,13,4
90.6,43.7,686.9,2.04122032885964,17.8,27,4,0,1,13,4
88.1,25.7,67.6,1.56861591791385,14.1,43,2.7,0,0,9,6
79.5,60.6,366.7,0.916290731874155,23.3,37,3.1,0,0,21.5,5
90.2,96.9,624.2,2.29253475714054,18.4,42,6.7,0,1,21.5,5
94.8,108.3,647.1,2.89037175789616,16.6,54,5.4,0,0,21.5,5
92.5,88,698.6,2.09186406167839,19.6,48,2.7,0,1,18.5,4
90.1,82.9,735.7,1.97408102602201,12.9,74,4.9,0,0,18.5,4
94.3,85.1,692.3,2.82731362192903,25.9,24,4,0,0,18.5,4
90.9,126.5,686.5,2.07944154167984,14.7,70,3.6,0,0,18.5,4
94.2,62.3,442.9,2.484906649788,23,36,3.1,0,0,21.5,5
87.2,23.9,64.7,1.62924053973028,11.8,35,1.8,0,0,9,6
87.6,52.2,103.8,1.79175946922805,11,46,5.8,0,0,9,6
92.9,137,706.4,2.32238772029023,20.8,17,1.3,0,0,18.5,4
90.2,99.6,631.2,1.98787434815435,21.5,34,2.2,0,1,21.5,5
92.1,111.2,654.1,2.36085400111802,20.4,42,4.9,0,0,21.5,5
92.1,111.2,654.1,2.36085400111802,20.4,42,4.9,0,0,21.5,5
91.7,114.3,661.3,1.98787434815435,17.6,45,3.6,0,0,21.5,5
92.9,137,706.4,2.32238772029023,27.7,24,2.2,0,0,18.5,4
90.3,80.7,730.2,1.98787434815435,17.8,63,4.9,0,0,18.5,4
92.6,46.5,691.8,2.28238238567653,13.8,50,2.7,0,1,13,4
84,9.3,34,1.1314021114911,13.9,40,5.4,0,0,6,6
86.6,13.2,43,1.84054963339749,12.3,51,0.9,0,0,6,6
89.3,51.3,102.2,2.36085400111802,11.5,39,5.8,0,1,9,6
89.3,51.3,102.2,2.36085400111802,5.5,59,6.3,0,1,9,6
93,75.3,466.6,2.16332302566054,18.8,35,4.9,0,0,21.5,5
90.2,99.6,631.2,1.98787434815435,20.8,33,2.7,0,1,21.5,5
91.1,103.2,638.8,1.91692261218206,23.1,31,3.1,0,0,21.5,5
91.7,114.3,661.3,1.98787434815435,18.6,44,4.5,0,0,21.5,5
92.4,117.9,668,2.58021682959233,23,37,4.5,0,0,18.5,4
92.4,117.9,668,2.58021682959233,19.6,33,5.4,0,0,18.5,4
92.4,117.9,668,2.58021682959233,19.6,33,6.3,0,0,18.5,4
91.7,33.3,77.5,2.30258509299405,17.2,26,4.5,0,0,9,6
91.2,48.3,97.8,2.60268968544438,15.8,27,7.6,0,0,9,6
94.3,85.1,692.3,2.82731362192903,17.7,37,3.6,0,0,18.5,4
91.7,33.3,77.5,2.30258509299405,15.6,25,6.3,0,0,9,6
88.8,147.3,614.5,2.30258509299405,17.3,43,4.5,0,0,21.5,5
93.3,141.2,713.9,2.70136121295141,27.6,30,1.3,0,0,18.5,4
84.2,6.8,26.6,2.16332302566054,6.7,79,3.1,0,0,6,6
86.6,13.2,43,1.84054963339749,15.7,43,3.1,0,0,6,6
87.6,52.2,103.8,1.79175946922805,8.3,72,3.1,0,0,9,6
90.1,108,529.8,2.60268968544438,14.7,66,2.7,0,0,21.5,5
91,121.2,561.6,2.07944154167984,21.6,19,6.7,0,0,21.5,5
91.4,142.4,601.4,2.45100509811232,19.5,39,6.3,0,1,21.5,5
90.2,99.6,631.2,1.98787434815435,17.9,44,2.2,0,1,21.5,5
94.8,108.3,647.1,2.89037175789616,18.6,51,4.5,0,0,21.5,5
92.1,111.2,654.1,2.36085400111802,16.6,47,0.9,0,0,21.5,5
91.7,114.3,661.3,1.98787434815435,20.2,45,3.6,0,0,21.5,5
92.9,137,706.4,2.32238772029023,21.5,15,0.9,0,0,18.5,4
92.9,137,706.4,2.32238772029023,25.4,27,2.2,0,0,18.5,4
92.9,137,706.4,2.32238772029023,22.4,34,2.2,0,0,18.5,4
93.5,149.3,728.6,2.2082744135228,25.3,36,3.6,0,1,18.5,4
91.7,35.8,80.8,2.17475172148416,17.4,25,4.9,0,1,9,6
90.2,96.9,624.2,2.29253475714054,14.7,59,5.8,0,1,21.5,5
91.7,35.8,80.8,2.17475172148416,17.4,24,5.4,0,0,9,6
92.3,85.3,488,2.75366071235426,20.8,32,6.3,0,1,21.5,5
91.4,142.4,601.4,2.45100509811232,18.2,43,4.9,0,1,21.5,5
91.1,103.2,638.8,1.91692261218206,23.4,22,2.7,0,0,21.5,5
89.7,90,704.4,1.75785791755237,17.8,64,1.3,0,1,18.5,4
83.9,8,30.2,1.28093384546206,12.7,48,1.8,0,1,6,6
69,2.4,15.5,0.53062825106217,17.4,24,5.4,0,1,9,6
91.4,142.4,601.4,2.45100509811232,11.6,87,4.5,0,1,21.5,5
91.4,142.4,601.4,2.45100509811232,19.8,39,5.4,0,1,21.5,5
91.4,142.4,601.4,2.45100509811232,19.8,39,5.4,0,1,21.5,5
88.8,147.3,614.5,2.30258509299405,14.4,66,5.4,0,0,21.5,5
94.8,108.3,647.1,2.89037175789616,20.1,40,4,0,0,21.5,5
92.5,121.1,674.4,2.26176309847379,24.1,29,4.5,0,1,18.5,4
82.1,3.7,9.3,1.3609765531356,5.3,78,3.1,0,1,4.5,5
85.9,19.5,57.3,1.33500106673234,12.7,52,6.3,0,0,9,6
91.4,30.7,74.3,2.14006616349627,18.2,29,3.1,0,0,9,6
90.2,99.6,631.2,1.98787434815435,21.4,33,3.1,0,1,21.5,5
92.5,88,698.6,2.09186406167839,20.3,45,3.1,0,1,18.5,4
88.6,91.8,709.9,2.09186406167839,17.4,56,5.4,0,0,18.5,4
85.9,19.5,57.3,1.33500106673234,13.7,43,5.8,0,0,9,6
91.7,33.3,77.5,2.30258509299405,18.8,18,4.5,0,0,9,6
89.7,90,704.4,1.75785791755237,22.8,39,3.6,0,1,18.5,4
91.8,78.5,724.3,2.32238772029023,18.9,35,2.7,0,0,18.5,4
88.1,25.7,67.6,1.56861591791385,15.8,27,7.6,0,0,9,6
88.1,25.7,67.6,1.56861591791385,15.5,27,6.3,0,0,9,6
91.7,35.8,80.8,2.17475172148416,11.6,30,6.3,0,1,9,6
91.7,35.8,80.8,2.17475172148416,15.2,27,4.9,0,1,9,6
90.1,39.7,86.6,1.97408102602201,10.6,30,4,0,0,9,6
93,75.3,466.6,2.16332302566054,19.6,36,3.1,0,0,21.5,5
91.5,145.4,608.2,2.45958884180371,10.3,74,2.2,0,0,21.5,5
91.5,145.4,608.2,2.45958884180371,17.1,43,5.4,0,0,21.5,5
92.4,124.1,680.7,2.2512917986065,22.5,42,5.4,0,1,18.5,4
84.4,73.4,671.9,1.43508452528932,17.9,45,3.1,0,0,18.5,4
94.3,85.1,692.3,2.82731362192903,19.8,50,5.4,0,0,18.5,4
92.6,46.5,691.8,2.28238238567653,20.6,24,5.4,0,1,13,4
87.6,52.2,103.8,1.79175946922805,9,49,2.2,0,0,9,6
93.5,149.3,728.6,2.2082744135228,17.2,43,3.1,0,0,18.5,4
91.4,37.9,673.8,1.82454929205105,15.9,46,3.6,0,0,13,4
92.6,46.5,691.8,2.28238238567653,15.4,35,0.9,0,1,13,4
68.2,21.5,87.2,0.587786664902119,15.4,40,2.7,0,1,6,6
87.2,23.9,64.7,1.62924053973028,14,39,3.1,0,0,9,6
89.3,51.3,102.2,2.36085400111802,10.6,46,4.9,0,1,9,6
93.7,80.9,685.2,2.9391619220656,17.6,42,3.1,0,0,18.5,4
88.1,25.7,67.6,1.56861591791385,14.9,38,2.7,0,0,9,6
93.5,139.4,594.2,3.05870707271538,17.6,52,5.8,0,1,21.5,5
92.4,124.1,680.7,2.2512917986065,17.2,58,1.3,0,1,18.5,4
90.9,126.5,686.5,2.07944154167984,15.6,66,3.1,0,0,18.5,4
85.8,48.3,313.4,1.58923520511658,18,42,2.7,0.307484699747961,0,21.5,5
91,129.5,692.6,2.07944154167984,21.7,38,2.2,0.357674444271816,0,18.5,4
90.9,126.5,686.5,2.07944154167984,21.9,39,1.8,0.385262400790645,0,18.5,4
95.5,99.9,513.3,2.65324196460721,23.3,31,4.5,0.438254930931155,0,21.5,5
90.1,108,529.8,2.60268968544438,21.2,51,8.9,0.476234178996372,0,21.5,5
90,51.3,296.3,2.27212588550934,16.6,53,5.4,0.536493370514568,1,21.5,5
95.5,99.9,513.3,2.65324196460721,23.8,32,5.4,0.570979546585738,0,21.5,5
95.2,131.7,578.8,2.43361335540045,27.4,22,4,0.641853886172395,0,21.5,5
90.1,39.7,86.6,1.97408102602201,13.2,40,5.4,0.667829372575655,0,9,6
84.4,73.4,671.9,1.43508452528932,24.2,28,3.6,0.672944473242426,0,18.5,4
94.8,108.3,647.1,2.89037175789616,17.4,43,6.7,0.727548607277278,0,21.5,5
93.7,80.9,685.2,2.9391619220656,23.7,25,4.5,0.751416088683921,0,18.5,4
92.5,56.4,433.3,2.09186406167839,23.2,39,5.4,0.783901543828409,0,19,5
90.1,68.6,355.2,2.10413415427021,24.8,29,2.2,0.858661619037519,1,21.5,5
90.1,51.2,424.1,1.97408102602201,24.6,43,1.8,0.887891257352457,1,21.5,5
94.3,85.1,692.3,2.82731362192903,20.1,47,4.9,0.900161349944271,0,18.5,4
93.4,145.4,721.4,2.2082744135228,29.6,27,2.7,0.900161349944271,1,18.5,4
94.8,108.3,647.1,2.89037175789616,16.4,47,1.3,0.940007258491471,1,21.5,5
93.4,145.4,721.4,2.2082744135228,28.6,27,2.2,0.959350221334602,1,18.5,4
92.1,111.2,654.1,2.36085400111802,18.4,45,3.6,0.966983846189673,0,21.5,5
92.1,111.2,654.1,2.36085400111802,20.5,35,4,0.970778917158225,0,21.5,5
92.4,117.9,668,2.58021682959233,19,34,5.8,0.989541193613748,0,18.5,4
90.1,39.7,86.6,1.97408102602201,16.1,29,3.1,1.01160091167848,0,9,6
95.2,131.7,578.8,2.43361335540045,20.3,41,4,1.06471073699243,0,21.5,5
90.6,50.1,100.4,2.17475172148416,15.2,31,8.5,1.07840958135059,1,9,6
92.5,121.1,674.4,2.26176309847379,17.8,56,1.8,1.08180517035173,1,18.5,4
89.7,90,704.4,1.75785791755237,17.8,67,2.2,1.10194007876078,1,18.5,4
84.9,18.2,55,1.38629436111989,5.3,70,4.5,1.14422279992016,0,9,6
92.1,111.2,654.1,2.36085400111802,16.6,47,0.9,1.19088756477728,0,21.5,5
96,127.1,570.5,2.86220088092947,23.4,33,4.5,1.25561603747777,0,21.5,5
91.2,48.3,97.8,2.60268968544438,14.6,26,9.4,1.26129787094521,0,9,6
95.2,131.7,578.8,2.43361335540045,20.7,45,2.2,1.26694760348732,0,21.5,5
92.9,133.3,699.6,2.32238772029023,21.9,35,1.8,1.27256559579155,0,18.5,4
85.6,90.4,609.6,2.02814824729229,17.4,50,4,1.30562645805244,0,21.5,5
91.4,142.4,601.4,2.45100509811232,20.1,39,5.4,1.31908561142644,1,21.5,5
90.9,126.5,686.5,2.07944154167984,17.7,39,2.2,1.4036429994545,0,18.5,4
90.2,96.9,624.2,2.29253475714054,14.2,53,1.8,1.50407739677627,1,21.5,5
90.2,96.9,624.2,2.29253475714054,20.3,39,4.9,1.71018781553424,1,21.5,5
81.5,9.1,55.2,1.30833281965018,5.8,54,5.8,1.72455071953461,0,10.5,6
90.2,99.6,631.2,1.98787434815435,19.2,44,2.7,1.73871024813824,1,21.5,5
90.1,82.9,735.7,1.97408102602201,18.3,45,2.2,1.77155676191054,0,18.5,4
88.8,147.3,614.5,2.30258509299405,14.4,66,5.4,1.82937633279936,0,21.5,5
92.4,124.1,680.7,2.2512917986065,23.9,32,6.7,1.84530023615608,1,18.5,4
84.9,32.8,664.2,1.38629436111989,19.1,32,4,1.86252854011626,0,13,4
86.8,15.6,48.3,1.58923520511658,12.4,53,2.2,1.99877363861238,1,6,6
91.7,48.5,696.1,2.4932054526027,16.8,45,4.5,2.05796251000271,0,13,4
93.9,135.7,586.7,2.77881927199042,20.8,34,4.9,2.07442899985629,0,21.5,5
91,129.5,692.6,2.07944154167984,17.6,46,3.1,2.08442908319087,0,18.5,4
89.3,51.3,102.2,2.36085400111802,11.5,39,5.8,2.10291389786498,1,9,6
90.9,126.5,686.5,2.07944154167984,21,42,2.2,2.11625551480255,0,18.5,4
90.8,41.9,89.4,2.18605127673809,13.3,42,0.9,2.12823170584927,1,9,6
90.7,44,92.4,1.87180217690159,11.5,60,4,2.22354188565359,1,9,6
91.2,48.3,97.8,2.60268968544438,11.7,33,4,2.23108909128898,0,9,6
95.2,131.7,578.8,2.43361335540045,24.2,28,2.7,2.27006190128849,0,21.5,5
94.8,108.3,647.1,2.89037175789616,24.6,22,4.5,2.27315628230323,0,21.5,5
92.9,133.3,699.6,2.32238772029023,24.3,25,4,2.34276688262688,0,18.5,4
94.8,108.3,647.1,2.89037175789616,24.6,22,4.5,2.39880395073459,0,21.5,5
93.9,135.7,586.7,2.77881927199042,23.5,36,5.4,2.39971180372477,0,21.5,5
81.5,9.1,55.2,1.30833281965018,5.8,54,5.8,2.47905623610982,0,10.5,6
92.9,137,706.4,2.32238772029023,21.5,15,0.9,2.48989419129904,0,18.5,4
91,129.5,692.6,2.07944154167984,13.9,59,6.3,2.50470927708418,0,18.5,4
63.5,70.8,665.3,0.587786664902119,22.6,38,3.6,2.51122395810537,0,18.5,4
91,129.5,692.6,2.07944154167984,21.6,33,2.2,2.52812576890798,0,18.5,4
90.1,37.6,83.7,2.10413415427021,12.4,54,3.6,2.57261223020711,1,9,6
83.9,8.7,32.1,1.1314021114911,8.8,68,2.2,2.64262239577975,1,6,6
91.4,37.9,673.8,1.82454929205105,20.2,37,2.7,2.68784749378469,0,13,4
90.6,50.1,100.4,2.17475172148416,15.1,64,4,2.70738331211451,1,9,6
92.9,137,706.4,2.32238772029023,22.1,34,1.8,2.74534598584591,0,18.5,4
93.5,139.4,594.2,3.05870707271538,22.9,31,7.2,2.80032547721138,1,21.5,5
91,129.5,692.6,2.07944154167984,20.7,37,2.2,2.90142159408275,0,18.5,4
92.4,117.9,668,2.58021682959233,19.6,33,6.3,3.00716665117965,0,18.5,4
93.7,80.9,685.2,2.9391619220656,23.2,26,4.9,3.19499288440487,0,18.5,4
90.6,43.7,686.9,2.04122032885964,18.4,25,3.1,3.22803376265297,1,13,4
93.5,139.4,594.2,3.05870707271538,5.1,96,5.8,3.29583686600433,1,21.5,5
94.3,85.1,692.3,2.82731362192903,20.1,47,4.9,3.30064012667084,0,18.5,4
87.6,52.2,103.8,1.79175946922805,11,46,5.8,3.34462703017376,0,9,6
91.7,35.8,80.8,2.17475172148416,17,27,4.9,3.38979933670979,1,9,6
91.7,35.8,80.8,2.17475172148416,17,27,4.9,3.38979933670979,1,9,6
92.4,124.1,680.7,2.2512917986065,16.9,60,1.3,3.41707073081845,1,18.5,4
88.6,91.8,709.9,2.09186406167839,12.4,73,6.3,3.4442568711226,0,18.5,4
92.9,133.3,699.6,2.32238772029023,19.4,19,1.3,3.48798651173455,0,18.5,4
90.1,39.7,86.6,1.97408102602201,15.2,27,3.1,3.49225611260912,0,9,6
90.2,99.6,631.2,1.98787434815435,16.2,59,3.1,3.4986265269937,1,21.5,5
93.3,141.2,713.9,2.70136121295141,18.6,49,3.6,3.60766939868839,0,18.5,4
87.6,52.2,103.8,1.79175946922805,11,46,5.8,3.63363097988346,0,9,6
88.3,150.3,309.9,2.05412373369555,13.4,79,3.6,3.63811233706028,0,21.5,5
90.1,82.9,735.7,1.97408102602201,15.4,57,4.5,3.65609796458956,0,18.5,4
93.5,149.3,728.6,2.2082744135228,22.9,39,4.9,3.902982260776,1,18.5,4
91.7,48.5,696.1,2.4932054526027,16.1,44,4,3.91939575975756,0,13,4
92.2,81.8,480.8,2.55722731136763,20.1,34,4.5,4.08260930600368,1,21.5,5
93.5,149.3,728.6,2.2082744135228,28.3,26,3.1,4.17592454921452,1,18.5,4
92.2,81.8,480.8,2.55722731136763,16.4,43,4,4.28082412916472,1,21.5,5
92.9,133.3,699.6,2.32238772029023,26.4,21,4.5,4.49412688719477,0,18.5,4
93.5,149.3,728.6,2.2082744135228,27.8,27,3.1,4.56622143584952,1,18.5,4
91,129.5,692.6,2.07944154167984,18.7,43,2.7,4.64813388542021,0,18.5,4
84.4,73.4,671.9,1.43508452528932,24.3,36,3.1,4.66964620517246,0,18.5,4
92.5,121.1,674.4,2.26176309847379,17.7,25,3.1,5.04908648047051,1,18.5,4
91.4,142.4,601.4,2.45100509811232,19.6,41,5.8,5.28563731339066,1,21.5,5
92.5,121.1,674.4,2.26176309847379,18.2,46,1.8,5.30797062357617,1,18.5,4
91,129.5,692.6,2.07944154167984,18.8,40,2.2,5.36541511008053,0,18.5,4
92.5,121.1,674.4,2.26176309847379,25.1,27,4,6.99561962542321,1,18.5,4
81.9,3,7.9,1.50407739677627,13.4,75,1.8,0,1,10.5,6
88,17.2,43.5,1.56861591791385,15.2,51,2.7,0,0,10.5,6
83,23.3,85.3,1.19392246847243,16.7,20,3.1,0,0,10.5,6
94.2,122.3,589.9,2.63188884013665,15.4,66,4,2.40964416528745,1,21.5,5
91.8,175.1,700.7,2.69462718077007,21.9,73,7.6,0,1,21.5,5
91.8,175.1,700.7,2.69462718077007,22.4,54,7.6,1.35325450704169,1,21.5,5
91.8,175.1,700.7,2.69462718077007,26.8,38,6.3,0.56531380905006,1,21.5,5
91.8,175.1,700.7,2.69462718077007,25.7,39,5.4,0.0861776962410524,1,21.5,5
92.2,91.6,503.6,2.36085400111802,20.7,70,2.2,0.559615787935423,0,21.5,5
93.1,157.3,666.7,2.67414864942653,28.7,28,2.7,0,0,21.5,5
93.1,157.3,666.7,2.67414864942653,21.7,40,0.4,1.24415459395877,0,21.5,5
93.1,157.3,666.7,2.67414864942653,26.8,25,3.1,0.518793793415168,0,21.5,5
93.1,157.3,666.7,2.67414864942653,24,36,3.1,0.215111379616945,0,21.5,5
93.1,157.3,666.7,2.67414864942653,22.1,37,3.6,0.19062035960865,0,21.5,5
91.9,109.2,565.5,2.19722457733622,21.4,38,2.7,0.924258901523332,0,21.5,5
91.6,138.1,621.7,1.98787434815435,18.9,41,3.1,2.42833629829961,0,21.5,5
87.5,77,694.8,1.79175946922805,22.3,46,4,0,0,21.5,5
94.2,117.2,581.1,2.484906649788,23.9,41,2.2,2.19944433407453,1,21.5,5
94.2,117.2,581.1,2.484906649788,21.4,44,2.7,0.518793793415168,1,21.5,5
91.8,170.9,692.3,2.68784749378469,20.6,59,0.9,0,1,21.5,5
91.8,170.9,692.3,2.68784749378469,23.7,40,1.8,0.867100487683383,1,21.5,5
93.6,97.9,542,2.73436750941958,28.3,32,4,2.287471455184,0,21.5,5
91.6,112.4,573,2.29253475714054,11.2,84,7.6,1.45861502269952,0,21.5,5
